Vgs,Id
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,2.36571e-036
2.1,1.19956e-007
2.2,4.79824e-007
2.3,1.0796e-006
2.4,1.9193e-006
2.5,2.9989e-006
2.6,4.31842e-006
2.7,5.87784e-006
2.8,7.67718e-006
2.9,9.71644e-006
3,1.19956e-005
3.1,1.45147e-005
3.2,1.72737e-005
3.3,2.02726e-005
3.4,2.35114e-005
3.5,2.69901e-005
3.6,3.07087e-005
3.7,3.46673e-005
3.8,3.88657e-005
3.9,4.33041e-005
4,4.79824e-005
4.1,5.29006e-005
4.2,5.80587e-005
4.3,6.34567e-005
4.4,6.90947e-005
4.5,7.49725e-005
4.6,8.10903e-005
4.7,8.74479e-005
4.8,9.40455e-005
4.9,0.000100883
5,0.00010796
